,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,68,21,0.5280898817068552,0.08549471653650843,11.541176470588235,0.48827726809378186,4.8117814954728075,11.541176470588235,479,978,2.6985446985446986,12,7.087934560327199
15,52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,29,0,0.9999999655172426,0.06331877715432581,16.192307692307693,0.5463182897862233,6.695450392837568,16.192307692307693,230,421,2.8513189448441247,1,7.479809976247031
16,53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,84,39,0.3658536555621654,0.13127001053226253,87.91666666666667,0.44549763033175355,35.344865718799376,87.91666666666667,470,1055,2.5033881897386254,16,6.6236966824644545
17,54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,21,0,0.9999999523809546,0.0375670840115079,10.73469387755102,0.5399239543726235,4.509847132769457,10.73469387755102,284,524,2.746153846153846,1,7.364503816793893
18,55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,18,6,0.4999999791666675,0.04195804188468874,11.6,0.5593869731800766,4.863754789272031,11.6,292,522,2.8050682261208575,1,7.75095785440613
19,56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,4,3,0.1428571224489825,0.03004291832599606,20.636363636363637,0.5286343612334802,8.465999199038846,20.636363636363637,120,227,2.794642857142857,3,7.572687224669603
21,58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,28,69,-0.42268040801360407,0.10199789684332503,14.370967741935484,0.5072951739618407,5.951305166358931,14.370967741935484,452,886,2.611683848797251,3,7.020316027088036
22,59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,15,0.16666666203703717,0.06394316152052724,14.5,0.46551724137931033,5.9862068965517246,14.5,243,522,2.623762376237624,4,6.915708812260537
23,60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,59,38,0.21649484312891915,0.08383751073134181,11.410526315789474,0.4584870848708487,4.747605360264129,11.410526315789474,497,1079,2.5934579439252334,10,6.936051899907322
24,61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,43,3,0.8695651984877131,0.08932038817607692,9.918367346938776,0.5329218106995884,4.180515663055346,9.918367346938776,259,486,2.702928870292887,5,7.292181069958848
25,62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,9,1,0.7999999200000081,0.027624309315954946,16.428571428571427,0.4463768115942029,6.749979296066252,16.428571428571427,154,345,2.6228070175438596,1,6.907246376811594
26,63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,26,7,0.5757575583103771,0.05472636806844715,14.64102564102564,0.47285464098073554,6.04555211280255,14.64102564102564,270,569,2.5448028673835124,5,6.759226713532513
27,64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,17,8,0.35999998560000057,0.056306306179490305,15.84,0.49242424242424243,6.5329696969696975,15.84,195,395,2.8200514138817483,2,7.281012658227848
28,65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,19,8,0.4074073923182447,0.08157099673241391,9.75,0.5160256410256411,4.106410256410256,9.75,161,309,2.838709677419355,1,7.517799352750809
29,66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,9,0,0.9999998888889013,0.038461538297172915,14.928571428571429,0.5454545454545454,6.18961038961039,14.928571428571429,114,209,2.898550724637681,3,7.760765550239235
30,67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,27,37,-0.15624999755859378,0.10738255015539841,9.271186440677965,0.4113345521023766,3.873008397112137,9.271186440677965,225,540,2.4871323529411766,14,6.6722222222222225
31,68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,12,2,0.7142856632653098,0.05957446783159801,15.857142857142858,0.5,6.542857142857144,15.857142857142858,111,221,2.730593607305936,2,7.226244343891403
32,69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,37,10,0.5744680728836581,0.08303886911123874,11.840909090909092,0.5758157389635317,4.96668993194905,11.840909090909092,300,521,2.916015625,1,7.616122840690979
33,70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,5,7,-0.16666665277777895,0.05660377331790673,16.5,0.494949494949495,6.7979797979797985,16.5,98,196,2.731958762886598,5,7.3061224489795915
34,71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,13,25,-0.31578946537396146,0.12297734588033221,12.875,0.459546925566343,5.333818770226538,12.875,142,300,2.630718954248366,6,7.116666666666666
35,72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,30,46,-0.21052631301939062,0.06397306391921459,13.884615384615385,0.5327793167128347,5.766957880531288,13.884615384615385,577,1082,2.7957288765088206,17,7.518484288354898
36,73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,45,23,0.3235294070069205,0.06786427138935701,13.56,0.42281219272369713,5.59312487708948,13.56,430,1009,2.533333333333333,19,6.686818632309217
37,74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,37,26,0.17460317183169569,0.061105722540149635,12.821917808219178,0.42948717948717946,5.300561995082543,12.821917808219178,402,933,2.49890350877193,17,6.676312968917471
38,75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,27,5,0.6874999785156257,0.057761732747722505,7.140845070422535,0.46548323471400394,3.0425313220546157,7.140845070422535,236,498,2.5826612903225805,1,6.937751004016064
39,76,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,46,8,0.7037036906721539,0.06498194938028647,12.838709677419354,0.45603015075376885,5.317895931269249,12.838709677419354,363,793,2.5,5,6.721311475409836
40,77,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,34,6,0.6999999825000005,0.11049723726381978,16.904761904761905,0.49295774647887325,6.959087860496311,16.904761904761905,175,353,2.7110481586402266,9,7.019830028328612
41,78,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,46,15,0.5081967129803818,0.05505415157486087,14.416666666666666,0.5057803468208093,5.968978805394991,14.416666666666666,525,1035,2.708984375,8,7.028985507246377
42,79,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,26,70,-0.45833332855902786,0.144796379872102,8.486486486486486,0.4681528662420382,3.5818557410914096,8.486486486486486,294,622,2.5648,12,6.863344051446945
43,80,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,59,22,0.45679011781740597,0.11234396655708188,8.922077922077921,0.3813682678311499,3.7213784759636286,8.922077922077921,262,682,2.3770250368188512,6,6.567448680351906
44,81,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,26,32,-0.10344827407847804,0.07837837827246165,13.745098039215685,0.37945791726105566,5.649822382590696,13.745098039215685,266,700,2.357459379615953,1,6.502857142857143
45,82,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,26,21,0.10638297645993668,0.059045226056475844,10.097222222222221,0.5089408528198074,4.242465230016811,10.097222222222221,370,723,2.7150837988826817,7,7.344398340248962
46,83,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,25,73,-0.48979591336942946,0.1439060203466872,9.271428571428572,0.47303543913713403,3.897785604226282,9.271428571428572,307,641,2.5534883720930233,14,6.848673946957878
47,84,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,24,11,0.37142856081632686,0.06704980830067087,12.657894736842104,0.4677754677754678,5.250268081847029,12.657894736842104,225,480,2.5280172413793105,6,6.860416666666667
48,85,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,12,6,0.3333333148148158,0.058631921633120775,18.6,0.46236559139784944,7.62494623655914,18.6,129,279,2.6849816849816848,1,7.172043010752688
49,86,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,29,17,0.2608695595463139,0.07744107731070526,19.678571428571427,0.47731397459165154,8.062354161265231,19.678571428571427,263,551,2.642066420664207,1,7.212341197822141
50,87,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,25,29,-0.07407407270233199,0.06323185004305404,12.903225806451612,0.4725,5.350290322580645,12.903225806451612,378,796,2.5673940949935816,6,6.947236180904523
51,88,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,38,11,0.5510203969179511,0.018081180805136095,8.968379446640316,0.39841339797267517,3.746717137845197,8.968379446640316,904,2267,2.374336710082007,1,6.3078958976621085
52,89,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,39,42,-0.03703703657978967,0.0748613677681503,11.818181818181818,0.49230769230769234,4.924195804195804,11.818181818181818,512,1035,2.606476938174681,11,7.026086956521739
53,90,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,32,64,-0.33333332986111114,0.08602150529926388,15.298507462686567,0.5580487804878049,6.342622497269749,15.298507462686567,572,1025,2.7477567298105683,1,7.262439024390244
54,91,https://insights.blackcoffer.com/human-rights-outlook/,7,1,0.7499999062500118,0.0382775117785765,17.636363636363637,0.4896907216494845,7.250421743205249,17.636363636363637,95,193,2.814814814814815,3,7.331606217616581
55,92,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,32,4,0.7777777561728402,0.05581395340183883,14.261904761904763,0.46243739565943237,5.889736863025679,14.261904761904763,277,596,2.511111111111111,2,6.733221476510067
56,93,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,38,34,0.05555555478395063,0.07051909885355621,8.491803278688524,0.45656370656370654,3.5793467941008923,8.491803278688524,473,1026,2.5559883154819865,6,6.947368421052632
57,94,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,56,15,0.5774647805990876,0.06327985734110529,11.71111111111111,0.484819734345351,4.878372338182585,11.71111111111111,511,1050,2.5440464666021296,6,6.899047619047619
58,95,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,34,33,0.0149253729115616,0.08839050120265106,14.196078431372548,0.4419889502762431,5.8552269526595175,14.196078431372548,320,719,2.555084745762712,4,6.891515994436718
59,96,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,20,44,-0.3749999941406251,0.052287581656627787,14.487179487179487,0.479646017699115,5.986730201951442,14.487179487179487,542,1130,2.707502374169041,2,7.074336283185841
60,97,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,20,40,-0.3333333277777779,0.08559201129016832,12.320754716981131,0.47013782542113325,5.116357016960906,12.320754716981131,307,653,2.633070866141732,4,7.03062787136294
61,98,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,40,48,-0.09090908987603308,0.1132561131103525,9.921052631578947,0.46419098143236076,4.154097445204523,9.921052631578947,350,749,2.5533333333333332,28,6.806408544726302
62,99,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,28,27,0.018181817851239675,0.07971014481201429,17.536585365853657,0.4728789986091794,7.203785745785135,17.536585365853657,340,717,2.614950634696756,13,6.907949790794979
63,100,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,20,37,-0.2982456088027086,0.062227074167874374,12.484848484848484,0.4842233009708738,5.187628714327744,12.484848484848484,399,821,2.778772378516624,3,7.381242387332521
64,101,https://insights.blackcoffer.com/travel-and-tourism-outlook/,8,3,0.4545454132231443,0.04700854680765578,16.846153846153847,0.4794520547945205,6.9302423603793475,16.846153846153847,105,218,2.748815165876777,3,7.114678899082569
65,102,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,32,46,-0.17948717718606183,0.10051546378799554,11.507936507936508,0.4482758620689655,4.78248494800219,11.507936507936508,325,721,2.4880112834978845,12,6.768377253814147
66,103,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,12,24,-0.33333332407407434,0.06474820132239532,12.894736842105264,0.4673469387755102,5.344833512352309,12.894736842105264,229,485,2.6688453159041394,5,7.016494845360825
67,104,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,32,54,-0.2558139505137913,0.10804020086929624,13.660714285714286,0.4915032679738562,5.660887021475258,13.660714285714286,376,765,2.6786188579017263,3,7.2065359477124185
68,105,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,25,34,-0.15254237029589204,0.08925869880596264,14.545454545454545,0.465625,6.004431818181818,14.545454545454545,298,639,2.5402843601895735,6,6.816901408450704
69,106,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,5,0,0.99999980000004,0.01999999992,24.0,0.5277777777777778,9.811111111111112,24.0,114,216,2.7149532710280373,1,7.416666666666667
70,107,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,17,2,0.7894736426592819,0.04241071419104751,12.470588235294118,0.41745283018867924,5.155216426193119,12.470588235294118,177,421,2.5167464114832536,3,6.805225653206651
71,108,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,33,52,-0.22352940913494815,0.12445095150153594,16.783783783783782,0.500805152979066,6.913835574705139,16.783783783783782,311,621,2.673805601317957,4,7.2882447665056365
72,109,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,33,24,0.1578947340720222,0.12499999972587719,13.114285714285714,0.3442265795206972,5.383404917522565,13.114285714285714,158,457,2.3634361233480177,38,6.411378555798687
73,110,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,9,36,-0.599999986666667,0.057692307618343194,13.185185185185185,0.4859550561797753,5.468456096545985,13.185185185185185,346,712,2.639941690962099,1,7.200842696629214
74,111,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,17,29,-0.2608695595463139,0.06424580996613714,12.142857142857142,0.5058823529411764,5.059495798319328,12.142857142857142,344,678,2.6745562130177514,1,7.3023598820058995
75,112,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,29,51,-0.27499999656250007,0.10062893069103279,12.981818181818182,0.4957983193277311,5.391046600458366,12.981818181818182,354,713,2.650997150997151,2,7.2187938288920055
76,113,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,20,21,-0.024390243307555043,0.07081174426457384,14.615384615384615,0.47719298245614034,6.037031039136302,14.615384615384615,272,569,2.5636042402826855,8,7.014059753954306
77,114,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,52,47,0.050505049994898486,0.09630350185184483,12.371794871794872,0.44974093264248705,5.128614321774944,12.371794871794872,434,961,2.5186368477103303,3,6.752341311134235
78,115,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,25,39,-0.21874999658203131,0.05904059035143856,13.578947368421053,0.4786821705426357,5.623051815585476,13.578947368421053,494,1032,2.619644723092999,3,6.7810077519379846
79,116,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,28,25,0.056603772516909956,0.09760589300625065,20.310344827586206,0.30220713073005095,8.245020783326503,20.310344827586206,178,589,2.2212389380530975,43,5.979626485568761
80,117,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,40,65,-0.23809523582766443,0.0868486351638969,15.10958904109589,0.47778785131459656,6.234950756964196,15.10958904109589,527,1101,2.601113172541744,8,7.123524069028156
81,118,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,37,52,-0.16853932394899637,0.11513583426243747,9.246913580246913,0.3978638184245661,3.857910959468592,9.246913580246913,298,740,2.417227456258412,8,6.452702702702703
82,119,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,12,14,-0.07692307396449716,0.07323943641341003,13.208333333333334,0.49842271293375395,5.482702418506836,13.208333333333334,158,317,2.865771812080537,2,7.558359621451104
83,120,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,50,91,-0.29078013978170114,0.08884688085138823,14.37,0.45650661099512874,5.930602644398052,14.37,656,1434,2.4956268221574343,7,6.801255230125523
84,121,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,38,64,-0.2549019582852749,0.12378640761676407,12.897058823529411,0.38426453819840367,5.312529344691126,12.897058823529411,337,870,2.345622119815668,35,6.354022988505747
85,122,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,37,66,-0.28155339532472434,0.08743633269317798,10.735294117647058,0.45388127853881277,4.475670158474348,10.735294117647058,497,1091,2.5290199809705043,13,6.701191567369386
86,123,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,44,78,-0.2786885223058318,0.10526315780391443,13.841463414634147,0.47048458149779737,5.7247791984527785,13.841463414634147,534,1133,2.5680793507664563,8,6.8808473080317745
87,124,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,24,41,-0.261538457514793,0.08643617009782424,11.745762711864407,0.4574314574314574,4.881277667718346,11.745762711864407,317,690,2.626543209876543,8,6.811594202898551
88,125,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,61,17,0.56410255687048,0.06336311936363678,16.681818181818183,0.5104450499545867,6.876905292709108,16.681818181818183,562,1099,2.707906976744186,3,7.238398544131028
89,126,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,20,24,-0.09090908884297526,0.06800618227510637,16.305555555555557,0.4735945485519591,6.711660041643007,16.305555555555557,278,586,2.632978723404255,4,7.005119453924915
90,127,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,39,83,-0.3606557347487235,0.12774869096570818,13.476923076923077,0.4737442922374429,5.580266947664208,13.476923076923077,415,872,2.6509988249118686,7,7.05848623853211
91,128,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,12,17,-0.17241378715814526,0.09570957064122254,14.210526315789474,0.5074074074074074,5.887173489278753,14.210526315789474,137,269,2.753731343283582,3,7.4758364312267656
92,129,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,9,6,0.19999998666666757,0.03340757230866911,14.03448275862069,0.48894348894348894,5.809370499025672,14.03448275862069,199,407,2.7591623036649215,2,7.125307125307125
93,130,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,27,57,-0.35714285289115655,0.06851549749713254,20.581818181818182,0.42667844522968196,8.403398650819147,20.581818181818182,483,1132,2.710237659963437,3,7.107773851590106
94,131,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,85,32,0.4529914491197312,0.09621710518403198,14.802631578947368,0.48355555555555557,6.11447485380117,14.802631578947368,544,1120,2.5897204688908926,1,7.051785714285714
95,132,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,31,22,0.16981131755072987,0.05353535348127742,13.014925373134329,0.4805045871559633,5.398171984116117,13.014925373134329,419,870,2.6923076923076925,7,7.14367816091954
96,133,https://insights.blackcoffer.com/continued-demand-for-sustainability/,30,19,0.22448979133694305,0.08462866997473459,17.225806451612904,0.5730337078651685,7.119536063791229,17.225806451612904,306,534,2.849809885931559,1,7.567415730337078
97,134,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,11,10,0.04761904535147403,0.05630026794557569,20.733333333333334,0.5273311897106109,8.504265809217578,20.733333333333334,164,310,2.8664495114006514,5,7.458064516129032
98,135,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,10,7,0.17647057785467188,0.053124999833984374,15.35,0.4006514657980456,6.300260586319219,15.35,123,306,2.504950495049505,8,6.712418300653595
99,136,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,4,16,-0.5999999700000015,0.05714285697959184,16.157894736842106,0.5309446254071661,6.675535744899709,16.157894736842106,163,307,2.810810810810811,5,7.456026058631922
100,137,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,8,7,0.06666666222222252,0.05136986283777444,18.071428571428573,0.45849802371541504,7.411970638057595,18.071428571428573,116,253,2.7302904564315353,4,7.015810276679842
101,138,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,9,11,-0.09999999500000024,0.07380073773505264,12.55,0.5537848605577689,5.241513944223108,12.55,139,251,2.887550200803213,7,7.557768924302789
102,139,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,12,3,0.5999999600000027,0.05535055330128947,11.947368421052632,0.4669603524229075,4.965731509390216,11.947368421052632,106,227,2.838862559241706,1,7.20704845814978
103,140,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,18,51,-0.47826086263390055,0.0992805753967186,12.39622641509434,0.4490106544901065,5.138094827833779,12.39622641509434,295,657,2.5584415584415585,1,6.745814307458143
104,141,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,9,20,-0.37931033174791956,0.07360406072689325,17.80952380952381,0.45454545454545453,7.305627705627706,17.80952380952381,170,371,2.600550964187328,4,6.962264150943396
105,142,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,41,69,-0.254545452231405,0.09090909083395943,13.068965517241379,0.51363236587511,5.433039153246596,13.068965517241379,584,1136,2.708295350957156,1,7.054577464788732
106,143,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,9,24,-0.45454544077135034,0.06860706846443437,12.324324324324325,0.47368421052631576,5.119203413940256,12.324324324324325,216,455,2.611111111111111,2,7.12967032967033
108,145,https://insights.blackcoffer.com/blockchain-in-fintech/,15,11,0.15384614792899431,0.05048543679517391,13.447368421052632,0.49510763209393344,5.5769904212586265,13.447368421052632,253,508,2.619329388560158,3,7.391732283464567
109,146,https://insights.blackcoffer.com/blockchain-for-payments/,25,27,-0.03846153772189351,0.07854984882394282,11.017241379310345,0.48982785602503914,4.602827694134154,11.017241379310345,313,637,2.649206349206349,10,7.430141287284145
110,147,https://insights.blackcoffer.com/the-future-of-investing/,39,12,0.5294117543252598,0.06211936655040272,13.051724137931034,0.49933949801849403,5.420425454379812,13.051724137931034,378,757,2.6635135135135135,2,7.126816380449141
111,148,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,30,46,-0.21052631301939062,0.08994082829592802,10.12987012987013,0.5230769230769231,4.261178821178821,10.12987012987013,408,780,2.648051948051948,3,6.987179487179487
112,149,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,33,3,0.8333333101851859,0.07775377952968947,14.633333333333333,0.5649202733485194,6.079301442672741,14.633333333333333,248,437,2.8666666666666667,1,7.784897025171625
113,150,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,37,41,-0.0512820506245891,0.10554803774621375,10.246376811594203,0.4738330975954738,4.288083963675871,10.246376811594203,335,704,2.6082621082621085,9,7.005681818181818
